Abombwe	6	Incarnate Darkness
Animalism	6	Animal Succulence
Animalism	6	Shared Soul
Animalism	6	Species Speech
Animalism	6	The Tongue of Beasts
Animalism	6	The Twin Souls
Animalism	7	Beast Shard
Animalism	7	Conquer the Beast
Animalism	7	The Devil’s Claws
Animalism	8	Taunt the Caged Beast
Animalism	8	The Beast’s Quills
Animalism	9	Plague of Beasts
Animalism	9	Unchain the Beast
Auspex	6	Clairvoyance
Auspex	6	Far Sense
Auspex	6	Prediction
Auspex	6	Soul Bond
Auspex	6	Telepathic Communication
Auspex	6	The Heart’s Desire
Auspex	7	A Gathering of Souls
Auspex	7	Anticipate Victory
Auspex	7	Brutal Ecstasy
Auspex	7	Karmic Sight
Auspex	7	Mirror Reflex
Auspex	8	Omniscience
Auspex	8	Psychic Assault
Auspex	8	Soul’s Sword
Auspex	9	False Slumber
Bardo	6	Boon of Anubis
Bardo	7	Bring Forth the Dawn
Bardo	8	Mummification
Bardo	9	Ra’s Blessing
Celerity	6	Momentum
Celerity	6	Precision
Celerity	6	Projectile
Celerity	7	Flower of Death
Celerity	7	Quickness
Celerity	8	Physical Defiance
Celerity	8	Time Out of Time
Celerity	8	Zephyr
Chimerstry	6	False Resonance
Chimerstry	6	Fatuus Mastery
Chimerstry	6	Shared Nightmare
Chimerstry	7	Blade of the Demons
Chimerstry	7	Far Fatuus
Chimerstry	7	Interrupt Reality
Chimerstry	7	Suspension of Disbelief
Chimerstry	8	Synesthesia
Chimerstry	8	Visions from the Asura
Chimerstry	9	Fabrication
Chimerstry	9	Mayaparisatya
Daimoinon	6	Concordance
Daimoinon	6	Hell-Born Investiture
Daimoinon	6	Lure Diabolik
Daimoinon	7	Bring the Plague
Daimoinon	7	Demonic Servitor
Daimoinon	7	Summon the Herald of Topheth
Daimoinon	8	Adramelech’s Wrath
Daimoinon	8	Call Forth the Herald of Hell
Daimoinon	8	Contagion
Daimoinon	9	Call the Great Beast
Daimoinon	9	Spew Wide the Pit
Dementation	6	Lingering Malaise
Dementation	6	Shattered Mirror
Dementation	6	Stain the Soul
Dementation	6	The Call
Dementation	7	Cobble the Road
Dementation	7	Restructure
Dementation	7	The Sword of Malkav
Dementation	8	Personal Scourge
Dementation	8	Prison of the Mind
Dementation	9	Brother’s Gift
Dementation	9	Lunatic Eruption
Dominate	6	Chain the Psyche
Dominate	6	Loyalty
Dominate	6	Obedience
Dominate	7	Mass Manipulation
Dominate	7	Still the Mortal Flesh
Dominate	8	Far Mastery
Dominate	9	Speak Through the Blood
Fortitude	6	Personal Armor
Fortitude	6	The Knight’s Bane
Fortitude	7	Shared Strength
Fortitude	7	The Blessing of Vitality
Fortitude	8	Adamantine
Fortitude	8	Armored Flesh
Melpominee	6	Shattering Crescendo
Melpominee	7	Persistent Echo
Mytherceria	6	Steal the Mind
Mytherceria	7	Absorb the Mind
Mytherceria	8	The Grandest Trick
Obeah	6	Unburdening the Bestial Soul
Obeah	7	Renewed Vigor
Obeah	8	Safe Passage
Obeah	9	Unburden the Flesh-Clad Soul
Obfuscate	6	Conceal
Obfuscate	6	Mask the Devil
Obfuscate	6	Mind Blank
Obfuscate	6	Soul Mask
Obfuscate	7	Cache
Obfuscate	7	Fortress of Silence
Obfuscate	7	Veil of Blissful Ignorance
Obfuscate	8	Old Friend
Obfuscate	8	Reaper of the Heart
Obfuscate	9	Create Name
Obfuscate	9	Obscure God’s Creation
Obtenebration	6	Shadowstep
Obtenebration	6	The Darkness Within
Obtenebration	6	Walk the Abyss
Obtenebration	7	Shadow Twin
Obtenebration	8	Oubliette
Obtenebration	9	Ahriman’s Demesne
Ogham	6	Inscribe the Forgotten Names
Potence	6	Crush
Potence	6	Imprint
Potence	7	Brutality
Potence	7	Earthshock
Potence	8	Aftershock
Potence	8	Flick
