Activist	Mage: The Ascension 20th Anniversary Edition	268	The world is broken. Help fix it. Speak truth to power, dig up secrets, call people out on their shit, and reveal your plans for a better world to anyone who will listen. While apathetic cowards sit back and tune out, you step up and do whatever needs doing. Sure, folks might consider you a pain in the ass, but at least you’re making a difference!\n\nAction is your greatest strength. You’re not one to sit things out. There’s no time to waste on mindless self-indulgence and no room to stay scared of what might happen. The wolf’s already halfway through the door, and you refuse to let that bastard win.\n\nEven so, your constant Outrage wears thin. There’s never room to sit back and enjoy life. As far as you’re concerned, complacency is a sin. Your fury’s justified, of course, but it gets old all the same. Before you can truly Ascend, you’ve got to balance righteous pyrotechnics with calm acceptance. Life never has been – and never will be – perfect. Finding a place of serenity within your storm is an essential part of your transcendence.\n\n– Regain Willpower when you successfully confront abuse, right wrongs, or reveal an actual conspiracy and, by doing so, bring it down.	FB
Architect	Vampire: The Masquerade 20th Anniversary Edition	88	The Architect has a sense of purpose even greater than herself. She is truly happy only when creating something of lasting value for others. People will always need things, and the Architect strives to provide at least one necessity. Inventors, pioneers, town founders, entrepreneurs, and the like are all Architect Archetypes. A Kindred Architect might seek to create new laws that affect her fellow undead, or she might aim to establish a new Anarch domain.\n\n— Regain a point of Willpower whenever you establish something of importance or lasting value.	OK
Autocrat	Vampire: The Masquerade 20th Anniversary Edition	88	The Autocrat wants to be in charge. He seeks prominence for its own sake, not because he has an operation’s best interests at heart or because he has the best ideas (though he may certainly think so). He may genuinely believe others are incompetent, but ultimately he craves power and control. Dictators, gang leaders, bullies, corporate raiders, and their ilk are Autocrat Archetypes. A Kindred Autocrat may crave a title, or he may wish to be recognized as the leader of a coterie.\n\n— Regain a point of Willpower when you achieve control over a group or organization involving other individuals.	OK
Benefactor	Mage: The Ascension 20th Anniversary Edition	268	It’s a cruel world, but you make things easier. Generous sometimes to a fault, you supply whatever you can provide: money, advice, protection, maybe just a shoulder when someone really needs to cry. You can’t just turn blind eyes to suffering and need. It’s your moral duty to do whatever you can do to make things right. When things get tough, you call upon your inner White Knight and charge in, bringing gifts, guidance, and occasional force when nothing else will do.\n\nAltruism is all too rare, especially in the World of Darkness. Helping people is your pleasure. Magick, as far as you’re concerned, is a tool for helping folks less fortunate than yourself. To do less is an abuse of the powers you possess.\n\nOn the flipside, though, you often feel Obligation even when you’re not actually needed. This, in turn, can become resentment – both on your part and on the parts of people who now feel, rightly or wrongly, that they owe you. Sometimes, you just need to back off, chill out, and let people do things for themselves. Martyrdom isn’t always the best Path toward Ascension.\n\n– Regain Willpower when you provide help that someone else desperately needs. The key here is that desperate part. Teaching Sunday school isn’t meeting that level of need; if you used your Arts to assist autistic kids, however, you’d clearly be making a difference in their lives.	FB
Bon Vivant	Vampire: The Masquerade 20th Anniversary Edition	88	The Bon Vivant knows that life — and unlife — is shallow and meaningless. As such, the Bon Vivant decides to enjoy her time on Earth. The Bon Vivant is not necessarily irresponsible. Rather, she is simply predisposed to having a good time along the way. Most Bon Vivants have low Self-Control ratings, as they are so given to excess. Hedonists, sybarites, and dilettantes are all examples of the Bon Vivant Archetype. A Kindred Bon Vivant may sire a brood of fawning childer, or he may spend his time gorging on the blood of drug abusers for the contact high.\n\n— Regain a point of Willpower whenever you truly enjoy yourself and can fully express your exultation. At the Storyteller’s option, a particularly fabulous revel may yield multiple Willpower points.	OK
Bravo	Vampire: The Masquerade 20th Anniversary Edition	88	The Bravo is a tough and a bully, and often takes perverse pleasure in tormenting the weak. To the Bravo’s mind, might makes right. Power is what matters, and only those with power should be respected. Naturally, physical power is the best kind, but any kind will do. The Bravo sees overt threats as a perfectly reasonable means of gaining cooperation. The Bravo is not incapable of pity or kindness; he just prefers to do things his way. Robbers, bigots, and thugs are all Bravo Archetypes. A Kindred Bravo may abuse authority the system has granted him, or he may — violently or otherwise — force other Kindred out of his way to get what he wants. He’s almost certainly an asshole.\n\n— Regain a point of Willpower any time you achieve your agenda through brutishness or intimidation. This need not be physical, as many Bravos verbally or socially cow their victims.	OK
Caregiver	Vampire: The Masquerade 20th Anniversary Edition	89	Everyone needs a shoulder to cry on. A Caregiver takes her comfort in consoling others, and people often come to her with their problems. Vampires with Caregiver Archetypes often attempt, as best they can, to protect the mortals on whom they feed. Nurses, doctors, and psychiatrists are examples of potential Caregivers. Caregiver Kindred are often the type who — tragically — Embrace mortal loves they’ve left behind in hopes of softening their loss, or even those who create situations of grief in order to ease it and thus validate themselves.\n\n— Regain a point of Willpower whenever you successfully protect or nurture someone else.	OK
Celebrant	Vampire: The Masquerade 20th Anniversary Edition	89	The Celebrant takes joy in her cause. Whether the character’s passion is battle, religion, foiling her rivals, or reading fine literature, it gives the Celebrant the strength to withstand adversity. Given the chance, the Celebrant will indulge in her passion as deeply as possible. Unlike the Fanatic (p. 91), the Celebrant pursues her cause not out of duty, but out of enthusiasm. Crusaders, hippies, political activists, and art enthusiasts are Celebrant Archetypes. Celebrant Kindred may cleave to mortal ideologies that are incongruous with their new Damned conditions, or they may be the advocates of new trends and causes that move through undead society.\n\n— Regain a point of Willpower whenever you pursue your cause or convert another character to the same passion. Conversely, lose a point of temporary Willpower whenever you are denied your passion or it is badly lost to you.	OK
Chameleon	Vampire: The Masquerade 20th Anniversary Edition	89	Independent and self-reliant, you carefully study the behavior and mannerisms of everyone you come in contact with so you can pass yourself off as someone else later. You spend so much time altering your mannerisms and appearance that your own sire may not even recognize you. Spies, con artists, drag queens, and impostors best represent the Chameleon.\n\n— Regain a point of Willpower whenever you fool someone into thinking you’re someone else for your own (or your pack or coterie‘s) benefit.	OK
Child	Vampire: The Masquerade 20th Anniversary Edition	89	The Child is still immature in personality and temperament. He wants what he wants now, and often prefers someone to give it to him. Although he can typically care for himself, he would rather have someone cater to his capricious desires. Some Child Archetypes are actually innocent rather than immature, ignorant of the cold ways of the real world. Actual children, spoiled individuals, and some drug abusers are Child Archetypes. Kindred with the Child Archetype might have not yet fully reached an understanding of the world and have some characteristic such as cruelty, entitlement, sympathy, or hunger that is out of balance with their other personality aspects, as they haven’t yet reached the “rounded” state of adulthood. Note that a Child Archetype need not be a physical, literal child at the time of Embrace. Some people simply never grow up.\n\n— Regain a point of Willpower whenever you manage to convince someone to help you with no gain to herself, or to nurture you.	OK
