#	disciplina	livro (titulo p/ o bloco 1 de §I21)	pagina IMPRESSA	pdf	feito
Abombwe	Vampire: The Dark Ages 20th Anniversary Edition	189	190	x
Abyss Mysticism	Lore of the Clans	125	126	x
Animalism	Vampire: The Masquerade 20th Anniversary Edition	128	136	x
Assamite Sorcery	Vampire: The Masquerade 20th Anniversary Edition	440	448	x
Auspex	Vampire: The Masquerade 20th Anniversary Edition	134	142	.
Bardo	Vampire: The Masquerade 20th Anniversary Edition	442	450	.
Celerity	Vampire: The Masquerade 20th Anniversary Edition	142	150	.
Chimerstry	Vampire: The Masquerade 20th Anniversary Edition	144	152	.
Daimonion	Vampire: The Dark Ages 20th Anniversary Edition	208	209	.
Dark Thaumaturgy	Rites of Blood	112	113	.
Dementation	Vampire: The Masquerade 20th Anniversary Edition	147	155	.
Dominate	Vampire: The Masquerade 20th Anniversary Edition	151	159	.
Flight	Vampire: The Masquerade 20th Anniversary Edition	447	455	.
Fortitude	Vampire: The Masquerade 20th Anniversary Edition	158	166	.
Koldunic Sorcery	Vampire: The Masquerade 20th Anniversary Edition	448	456	.
Melpominee	Vampire: The Masquerade 20th Anniversary Edition	453	461	.
Mytherceria	Vampire: The Masquerade 20th Anniversary Edition	455	463	.
Necromancy	Vampire: The Masquerade 20th Anniversary Edition	159	167	.
Obeah	Vampire: The Masquerade 20th Anniversary Edition	457	465	.
Obfuscate	Vampire: The Masquerade 20th Anniversary Edition	184	192	.
Obtenebration	Vampire: The Masquerade 20th Anniversary Edition	188	196	.
Ogham	Vampire: The Masquerade 20th Anniversary Edition	461	469	.
Potence	Vampire: The Masquerade 20th Anniversary Edition	192	200	.
Presence	Vampire: The Masquerade 20th Anniversary Edition	193	201	.
Protean	Vampire: The Masquerade 20th Anniversary Edition	199	207	.
Quietus	Vampire: The Masquerade 20th Anniversary Edition	203	211	.
Sanguinus	Vampire: The Masquerade 20th Anniversary Edition	463	471	.
Serpentis	Vampire: The Masquerade 20th Anniversary Edition	209	217	.
Setite Sorcery	Rites of Blood	36	37	.
Spiritus	Vampire: The Masquerade 20th Anniversary Edition	465	473	.
Temporis	Vampire: The Masquerade 20th Anniversary Edition	467	475	.
Thanatosis	Vampire: The Masquerade 20th Anniversary Edition	471	479	.
Thaumaturgy	Vampire: The Masquerade 20th Anniversary Edition	212	220	.
Valeren	Vampire: The Masquerade 20th Anniversary Edition	474	482	.
Vicissitude	Vampire: The Masquerade 20th Anniversary Edition	241	249	.
Visceratika	Vampire: The Masquerade 20th Anniversary Edition	475	483	.
