# family_weakness.tsv - a FRAQUEZA de cada uma das 23 familias de PICKER_LIST[family].
# T937, 173a rodada 2026-09-03. Cabecalho ASCII por convencao; o DADO nao e (V411b).
#
# nome_picker<TAB>fonte<TAB>pag<TAB>en<TAB>pt
#
# fonte: gr = Ghouls & Revenants | da = V20 Dark Ages | USER = resposta do dono
#
# FORMA: UMA FRASE MECANICA, nao o bloco do livro (decisao do user 2026-09-03). Os blocos
# vao de 49 a 833 chars e sao ate 3 paragrafos; o box da aba Ghoul tem 128px de altura, o
# que da ~4 linhas. A pagina fica na linha para conferir de onde a frase foi destilada.
#
# Termos em pt seguem os que a ficha JA usa (medidos nos desc*_pt.lua): laco de sangue,
# frenesi, agravado, contundente, Abraco, Perturbacao, Qualidade, Defeito, Vigor.
#
# COMPLETUDE e cobrada por V412f: nome na lista sem linha aqui e FAIL, nao 'ainda nao
# extrai' - decisao do user em Q60, e foi o que tirou Katayama da lista em T938.
Basarab	da	454	Repelled by garlic and holy symbols: presented with either, a Willpower roll or they must remove themselves from its presence.	Repelidos por alho e por símbolos sagrados: diante de qualquer um dos dois, um teste de Força de Vontade ou têm de se afastar.
Bratovich (Dark Ages)	da	454	Given over to their own savagery, they suffer the same frenzy effects as the Brujah.	Entregues à própria selvageria, sofrem os mesmos efeitos de frenesi que os Brujah.
Bratovitch (Modern)	gr	91	+2 difficulty on every roll to resist frenzy. They may not spend Willpower to avoid a frenzy, only to end one.	+2 de dificuldade em todo teste para resistir ao frenesi. Não podem gastar Força de Vontade para evitar um frenesi, apenas para encerrá-lo.
D'Habi	gr	93	Broken by centuries of infernal servitude, they are extraordinarily suggestible: +2 difficulty on all Willpower rolls.	Quebrados por séculos de servidão infernal, são extraordinariamente sugestionáveis: +2 de dificuldade em todo teste de Força de Vontade.
Danislav	da	455	They take aggravated damage from silver.	Sofrem dano agravado por prata.
Ducheski	gr	95	Centuries under the Tremere left them far from their human side: no Ducheski may ever have a Social Attribute above 2.	Séculos sob os Tremere os afastaram do lado humano: nenhum Ducheski pode ter um Atributo Social acima de 2.
Enrathi	gr	97	Centuries of moral decay: they may not have Humanity higher than 3, nor Conscience higher than 2.	Séculos de decadência moral: não podem ter Humanidade acima de 3, nem Consciência acima de 2.
Grimaldi (Dark Ages)	da	455	Tzimisce blood runs thin in this family, which has no native ties to the Voivodate: they have only eight blood points.	O sangue Tzimisce é fraco nesta família, que não tem laços nativos com o Voivodato: têm apenas oito pontos de sangue.
Grimaldi (Modern)	gr	99	Family arrogance: whenever there is a chance to boast of the family, a Willpower roll at difficulty 7 to hold back their scorn.	Arrogância de família: sempre que houver ocasião de gabar-se da família, um teste de Força de Vontade a dificuldade 7 para conter o desprezo.
Kairouan Brotherhood	gr	101	Years of genetic manipulation: every member suffers the Slow Healing Flaw (V20 p. 483).	Anos de manipulação genética: todo membro sofre o Defeito Cura Lenta (V20 p. 483).
