#	afiliacao	livro	pagina IMPRESSA	feito
Balamo’ob	sorc	81	x
Followers of Set	sorcc	14	x
Forn Jafnaðr	sorc	85	x
Giovanni	sorcc	15	x
Lone Practitioner	sorc	79	x
Maison Liban	sorc	87	x
Mogen HaLev	sorc	87	x
Nebuu-Afef, The Order of The Golden Fly	sorc	88	x
Path-Dancers	sorcc	16	x
Thal’hun	sorc	92	x
The Ancient Order of The Aeon Rites	sorc	80	x
The Arcanum	sorc	80	x
The Children of Osiris	sorc	82	x
The Crystal Circle	sorcc	19	x
The Cult of Isis	sorc	83	x
The Cult of Mercury	sorc	83	x
The Dozen Priests of the Pythian Order	sorc	84	x
The Fenian	sorc	85	x
The Nephite Priesthood	sorc	89	x
The Seven Thunders	sorc	90	x
The Silver Portal	sorc	90	x
The Society of Enlightened Altruistic Ideologies (SEAI)	sorc	91	x
The Society of Leopold	hh	117	x
The Star Council	sorc	92	x
U.S. Government (Project Twilight)	sorc	93	x
Uzoma	sorc	95	x
