#	nivel	ritual	Caminho	livro	pagina IMPRESSA	feito
1	Death Curse	Fortune	sorc	31	x
1	Deathsight	Necromancy	sorc	40	x
1	Eldritch Mark	Enchantment	sorc	29	x
1	Face Theft	Shapeshifting	sorc	47	x
1	Healing Slumber	Healing	sorc	33	x
1	Lifting Shadows	Shadows	sorc	46	x
1	Sprint	Conveyance	sorc	22	x
1	Symbol Interpretation	Oneiromancy	sorc	43	x
2	Bedtime Story	Oneiromancy	sorc	43	x
2	Cruel Whispers	Illusion	sorc	36	x
2	Enhance Craftsmanship	Enchantment	sorc	29	x
2	Fire's Weal	Hellfire	sorc	34	x
2	Hellblade	Hellfire	sorc	34	x
2	Jolt	Healing	sorc	33	x
2	Object Permanence	Conjuration	sorc	21	x
2	Quintessence Infusion	Quintessence Manipulation	sorc	45	x
2	Rest in Peace	Maelstroms	sorc	38	x
2	Step on a Crack	Fortune	sorc	31	x
2	Teleport Ward	Conveyance	sorc	22	x
3	Always Armed	Conjuration	sorc	21	x
3	Bashert	Fortune	sorc	32	x
3	Belle/Beau/Bright of the Ball	Fascination	sorc	30	x
3	Calm Above, Hell Below	Maelstroms	sorc	39	x
3	Get Me the Heck Outta Here!	Conveyance	sorc	22	x
3	Grip of Shades	Shadows	sorc	47	x
3	Hard-Light Constructs	Illusion	sorc	37	x
3	Invade Demesne	Oneiromancy	sorc	43	x
3	Mike's Cure-All	Healing	sorc	33	x
3	Purification of the Inferno	Hellfire	sorc	35	x
3	Shape Quintessence	Quintessence Manipulation	sorc	45	x
3	Shitstorm	Conjuration	sorc	21	x
3	Shroud Bubble	Necronics	sorc	41	x
3	Shut It Down	Necronics	sorc	41	x
3	Wrapped in a Shroud	Necromancy	sorc	40	x
4	Doxxing	Necronics	sorc	42	x
4	Dream Scream	Oneiromancy	sorc	43	x
4	Extraction	Conjuration	sorc	22	x
4	Fix the True Form	Shapeshifting	sorc	47	x
4	Forced Medium	Necromancy	sorc	40	x
4	Freudian Slip	Fortune	sorc	32	x
4	Humor Alignment	Healing	sorc	33	x
4	Information Superhighway	Conveyance	sorc	23	x
4	Instant Feast	Illusion	sorc	37	x
4	Love Potion Number 9	Fascination	sorc	30	x
5	Generational Wealth	Fortune	sorc	32	x
5	Megafauna Transformation	Shapeshifting	sorc	48	x
5	Oubliette	Illusion	sorc	37	x
5	Overwrite	Necronics	sorc	42	x
5	Shelter for the Dead	Maelstroms	sorc	39	x
5	Smoldering Ruin	Hellfire	sorc	35	x
5	Steal Life	Necromancy	sorc	40	x
5	Teleportal	Conveyance	sorc	23	x
