Thaumaturgy	The Path of Blood
Thaumaturgy	Elemental Mastery
Thaumaturgy	The Green Path
Thaumaturgy	Hands of Destruction
Thaumaturgy	Lure of Flames
Thaumaturgy	Neptune’s Might
Thaumaturgy	Path of Conjuring
Thaumaturgy	Movement of the Mind
Thaumaturgy	Path of Corruption
Thaumaturgy	Path of Mars
Thaumaturgy	Path of Technomancy
Thaumaturgy	Path of the Father’s Vengeance
Thaumaturgy	Weather Control
Thaumaturgy	Mastery of the Mortal Shell
Thaumaturgy	Path of the Focused Mind
Thaumaturgy	Path of the Levinbolt
Thaumaturgy	Path of Spirit Manipulation
Thaumaturgy	The Blessings of the Great Dark Mother
Thaumaturgy	Iter Pernix
Thaumaturgy	Potestas Exsecrabilis
Necromancy	Sepulchre Path
Necromancy	Ash Path
Necromancy	Bone Path
Necromancy	Cenotaph Path
Necromancy	Corpse in the Monster
Necromancy	Grave’s Decay
Necromancy	Vitreous Path
Necromancy	Path of Haunting
Necromancy	The Path of the Twilight Garden
Necromancy	The Path of Skulls
Necromancy	The Path of Woe
Necromancy	The Nightshade Path
Koldunic Sorcery	The Way of the Spirit
Koldunic Sorcery	The Way of Sorrows
Koldunic Sorcery	The Transylvanian Kraina
Koldunic Sorcery	The Black Sea Kraina
Koldunic Sorcery	The Bialowieza Kraina
Koldunic Sorcery	The Kraina of Enoch
Koldunic Sorcery	The Kraina of the Well
Koldunic Sorcery	The Way of Earth
Koldunic Sorcery	The Way of Wind
Koldunic Sorcery	The Way of Water
Koldunic Sorcery	The Way of Fire
Assamite Sorcery	The Keeper’s Way
Assamite Sorcery	The Hunter’s Winds
Assamite Sorcery	The Path of the Evil Eye
Assamite Sorcery	Awakening of the Steel
Assamite Sorcery	The Path of Life’s Waters
Assamite Sorcery	The Path of Jinn’s Gift
Assamite Sorcery	The Path of the Ailing Jackal
Assamite Sorcery	The Hand of the Magi
Assamite Sorcery	The Covenant of Enki
Assamite Sorcery	The Laws of Suleiman
Assamite Sorcery	Movement of the Mind
Assamite Sorcery	Hands of Destruction
Setite Sorcery	The Revelations of Duat
Setite Sorcery	The Revelations of Eden
Setite Sorcery	The Revelations of Midgard
Setite Sorcery	Ushabti
Setite Sorcery	The Path of Praapti
Setite Sorcery	The Flow of Ashe
Dark Thaumaturgy	Die Herrschaft des Wyrm
Dark Thaumaturgy	Rego Calatio
Dark Thaumaturgy	The Fires of the Inferno
Dark Thaumaturgy	The Path of Phobos
Dark Thaumaturgy	The Taking of the Spirit
