1	Bind the Accusing Tongue	Thaumaturgy
1	Blood Rush	Thaumaturgy
1	Communicate with Kindred Sire	Thaumaturgy
1	Defense of the Sacred Haven	Thaumaturgy
1	Deflection of Wooden Doom	Thaumaturgy
1	Devil’s Touch	Thaumaturgy
1	Domino of Life	Thaumaturgy
1	Engaging the Vessel of Transference	Thaumaturgy
1	Illuminate the Trail of Prey	Thaumaturgy
1	Incantation of the Shepherd	Thaumaturgy
1	Purity of Flesh	Thaumaturgy
1	Wake with Evening’s Freshness	Thaumaturgy
1	Widow’s Spite	Thaumaturgy
2	Blood Walk	Thaumaturgy
2	Burning Blade	Thaumaturgy
2	Donning the Mask of Shadows	Thaumaturgy
2	Eyes of the Night Hawk	Thaumaturgy
2	Machine Blitz	Thaumaturgy
2	Principal Focus of Vitae Infusion	Thaumaturgy
2	Recure of the Homeland	Thaumaturgy
2	Warding Circle versus Ghouls	Thaumaturgy
2	Ward Versus Ghouls	Thaumaturgy
3	Clinging of the Insect	Thaumaturgy
3	Flesh of Fiery Touch	Thaumaturgy
3	Incorporeal Passage	Thaumaturgy
3	Mirror of Second Sight	Thaumaturgy
3	Pavis of Foul Presence	Thaumaturgy
3	Sanguine Assistant	Thaumaturgy
3	Shaft of Belated Quiescence	Thaumaturgy
3	Ward versus Lupines	Thaumaturgy
3	Warding Circle versus Lupines	Thaumaturgy
4	Bone of Lies	Thaumaturgy
4	Firewalker	Thaumaturgy
4	Heart of Stone	Thaumaturgy
4	Splinter Servant	Thaumaturgy
4	Ward versus Kindred	Thaumaturgy
4	Warding Circle versus Kindred	Thaumaturgy
5	Blood Contract	Thaumaturgy
5	Enchant Talisman	Thaumaturgy
5	Escape to a True Friend	Thaumaturgy
5	Paper Flesh	Thaumaturgy
5	Ward versus Spirits	Thaumaturgy
5	Warding Circles versus Spirits, Ghosts, and Demons	Thaumaturgy
1	Call of the Hungry Dead	Necromancy
1	Eldritch Beacon	Necromancy
1	Insight	Necromancy
1	Knowing Stone	Necromancy
1	Minestra di Morte	Necromancy
1	Ritual of the Smoking Mirror	Necromancy
2	Eyes of the Grave	Necromancy
2	The Hand of Glory	Necromancy
2	Occhio d’Uomo Morto	Necromancy
2	Puppet	Necromancy
2	The Ritual of Pochtli	Necromancy
2	Two Centimes	Necromancy
3	Blood Dance	Necromancy
3	Divine Sign	Necromancy
3	Din of the Damned	Necromancy
3	Nightmare Drums	Necromancy
3	Ritual of The Unearthed Fetter	Necromancy
3	Tempesta Scudo	Necromancy
4	Baleful Doll	Necromancy
4	Bastone Diabolico	Necromancy
4	Cadaver’s Touch	Necromancy
4	Peek Past the Shroud	Necromancy
4	Ritual of Xipe Totec	Necromancy
5	Chill of Oblivion	Necromancy
5	Dead Man’s Hand	Necromancy
5	Esilio	Necromancy
5	Grasp the Ghostly	Necromancy
