1	Foxfire	Necromancy
1	Final Sight	Necromancy
1	Shew-Stone	Necromancy
1	Memento Mori	Necromancy
2	Antonius’s Denial	Necromancy
2	Witch Eye	Necromancy
2	Prepare the Vessel	Necromancy
2	Totenpass	Necromancy
4	Vision of St. Anthony	Necromancy
5	Treasures of Hades	Necromancy
5	Orphic Sojourn	Necromancy
1	Ambrus Kelemen’s Aegis	Thaumaturgy
2	Commune with Cainite	Thaumaturgy
2	Flaming Weapon	Thaumaturgy
2	Witness of Whispers	Thaumaturgy
2	Summon Guardian Spirit	Thaumaturgy
2	Ward	Thaumaturgy
3	Animated Assistants	Thaumaturgy
3	Bind the Familiar	Thaumaturgy
3	Scry the Hearthstone	Thaumaturgy
4	Animated Weapon	Thaumaturgy
4	Candle of Haunting	Thaumaturgy
4	Invisible Chains of Binding	Thaumaturgy
5	Stone Slumber	Thaumaturgy
5	Dedicate the Haven	Thaumaturgy
4	Return of the Heart	Thaumaturgy
5	Rite of Marduk Slain and Risen	Thaumaturgy
3	Displacement of the Pneuma	Thaumaturgy
5	Cheat the Scale of Hades	Thaumaturgy
1	Rite of Introduction	Thaumaturgy
1	Pierce the Veil	Abyss Mysticism
1	Eyes of the Abyss	Abyss Mysticism
2	Subsume the Darkness	Abyss Mysticism
3	Balthazar’s Revelation	Abyss Mysticism
3	Calling the Hungry Shade	Abyss Mysticism
3	The Third Eye of Rickard Argentis	Abyss Mysticism
4	Reflections of Hollow Revelation	Abyss Mysticism
5	Whispers in the Dark	Abyss Mysticism
6	Into the Chasm	Abyss Mysticism
7	Evocation of the Oubliette	Abyss Mysticism
8	Cry That Slays the Light	Abyss Mysticism
8	Lord Aludian’s Claim	Abyss Mysticism
