1. Defense of the Sacred Haven	Assamite Sorcery
1. Wake with Evening’s Freshness	Assamite Sorcery
1. Communicate with Kindred Sire	Assamite Sorcery
1. Deflection of Wooden Doom	Assamite Sorcery
2. Ward Versus Ghouls	Assamite Sorcery
2. Principal Focus of Vitae Infusion	Assamite Sorcery
3. Incorporeal Passage	Assamite Sorcery
4. Bone of Lies	Assamite Sorcery
5. Mirror of Blood	Koldunic Sorcery
4. Return of the Heart	Assamite Sorcery
5. Rite of Marduk Slain and Risen	Assamite Sorcery
3. Displacement of the Pneuma	Setite Sorcery
5. Cheat the Scale of Hades	Setite Sorcery
