1	Light within Shadow	Abyss Mysticism
2	Comforting Darkness	Abyss Mysticism
3	Claiming the Dark	Abyss Mysticism
4	Vision of Shadow	Abyss Mysticism
5	Commune with the Abyss	Abyss Mysticism
1	Death’s Communion	Necromancy
5	The Ferryman’s Recall	Necromancy
2	Ascension of the Blood	Thaumaturgy
3	Brotherhood of the Cup	Thaumaturgy
3	Sanguine Trail	Thaumaturgy
3	Ward of the Winged Sepulcher	Thaumaturgy
2	Generation of the Acheron Vortex	Necromancy
1	Tame the Maddening Flame	Assamite Sorcery
2	Banning Rituals	Assamite Sorcery
3	Wield the Spear of Damnation	Assamite Sorcery
5	Ravening Walls of Ceoris	Assamite Sorcery
2	Parting the Veil	Necromancy
5	From Marduk’s Throat	Assamite Sorcery
