1	The Abyss Knows	Abyss Mysticism
1	Locating the Oubliette	Abyss Mysticism
2	Abyssal Blade	Abyss Mysticism
2	Implant the Bezoar	Abyss Mysticism
3	One with the Dark	Abyss Mysticism
3	Summoning the Blatherskites	Abyss Mysticism
3	Angra Mainyu Consumes Spenta Mainyu	Abyss Mysticism
4	Lord Aludian’s Orifices	Abyss Mysticism
4	Boukephos’ Gateway	Abyss Mysticism
5	Beckon the Ingurgitant	Abyss Mysticism
5	Rickard Argentis’s Homunculus	Abyss Mysticism
1	Strength of Haqim	Assamite Sorcery
1	Ritual of Return	Assamite Sorcery
2	Blood Calls to Blood	Assamite Sorcery
3	Strength in Wisdom	Assamite Sorcery
3	A Shield of Mirror	Assamite Sorcery
4	Rebirth in the Light of Haqim	Assamite Sorcery
5	Occlude the Western Road	Assamite Sorcery
1	Unnatural Decay	Koldunic Sorcery
1	Drinking Death	Koldunic Sorcery
1	Treasured Ornaments	Koldunic Sorcery
1	Master of the Domain	Koldunic Sorcery
1	Truth in Water	Koldunic Sorcery
1	Servitor’s Perception	Koldunic Sorcery
2	Borne by Wind	Koldunic Sorcery
2	Autumn’s Armor	Koldunic Sorcery
2	Concentrated Vitae	Koldunic Sorcery
2	Eyes of the Dead	Koldunic Sorcery
3	Animate Curios	Koldunic Sorcery
3	One with the Forest	Koldunic Sorcery
3	The Floating Dead	Koldunic Sorcery
4	Scrying Pool	Koldunic Sorcery
4	Evoke the Storm	Koldunic Sorcery
3	Samira’s Kihanah	Thaumaturgy
9	Boukephos’ Chosen Oubliette	Abyss Mysticism
