#	nivel	ritual	dona	livro	pagina IMPRESSA	feito
1	Ambrus Kelemen’s Aegis	Thaumaturgy	da	303	.
1	Armor of Diamond Serenity	Setite Sorcery	rob	166	.
1	Bind the Accusing Tongue	Thaumaturgy	core	230	x
1	Blood Mastery	Thaumaturgy	rob	145	.
1	Blood Rush	Thaumaturgy	core	230	x
1	Blood into Water	Thaumaturgy	rob	145	.
1	Brand	Thaumaturgy	rob	23	.
1	CCTV	Thaumaturgy	rob	67	.
1	Call of the Hungry Dead	Necromancy	core	177	.
1	Calling Card	Thaumaturgy	rob	65	.
1	Chime of Unseen Spirits	Thaumaturgy	rob	23	.
1	Communicate with Kindred Sire	Thaumaturgy	core	230	.
1	Death’s Communion	Necromancy	lotc	108	.
1	Defense of the Sacred Haven	Thaumaturgy	core	230	.
1	Deflection of Wooden Doom	Thaumaturgy	core	231	.
1	Devil’s Touch	Thaumaturgy	core	231	.
1	Domino of Life	Thaumaturgy	core	231	.
1	Drinking Death	Koldunic Sorcery	tos	48	.
1	Eldritch Beacon	Necromancy	core	177	.
1	Encrypt Missive	Thaumaturgy	rob	145	.
1	Engaging the Vessel of Transference	Thaumaturgy	core	231	.
1	Eyes of the Abyss	Abyss Mysticism	da	271	.
1	Final Sight	Necromancy	da	292	.
1	Flatline	Thaumaturgy	rob	158	.
1	Foxfire	Necromancy	da	292	.
1	Horoscope	Assamite Sorcery	rob	162	.
1	Illuminate the Trail of Prey	Thaumaturgy	core	231	.
1	Impressive Visage	Thaumaturgy	rob	146	.
1	Incantation of the Shepherd	Thaumaturgy	core	232	.
1	Insight	Necromancy	core	177	.
1	Knowing Stone	Necromancy	core	177	.
1	Learning the Mind Enslumbered	Thaumaturgy	rob	146	.
1	Light within Shadow	Abyss Mysticism	lotc	126	.
1	Locating the Oubliette	Abyss Mysticism	tos	35	.
1	Master of the Domain	Koldunic Sorcery	tos	49	.
1	Memento Mori	Necromancy	da	293	.
1	Minestra di Morte	Necromancy	core	177	.
1	Pierce the Veil	Abyss Mysticism	da	271	.
1	Preserve Corpse	Necromancy	rob	103	.
1	Purify Blood	Thaumaturgy	rob	147	.
1	Purity of Flesh	Thaumaturgy	core	232	.
1	Reawakening the Dead Water	Koldunic Sorcery	rob	157	.
1	Rite of Introduction	Thaumaturgy	da	311	.
1	Rite of Reclamation	Assamite Sorcery	rob	76	.
1	Ritual of Return	Assamite Sorcery	tos	42	.
1	Ritual of the Smoking Mirror	Necromancy	core	178	.
1	Sanctify the Temple	Thaumaturgy	rob	62	.
1	Sanguineous Phial	Thaumaturgy	rob	147	.
1	Sense the Mystical	Thaumaturgy	rob	147	.
1	Servitor’s Perception	Koldunic Sorcery	tos	50	.
1	Shew-Stone	Necromancy	da	293	.
1	Sigil of Authority	Thaumaturgy	rob	24	.
1	Strength of Haqim	Assamite Sorcery	tos	42	.
1	Tame the Maddening Flame	Assamite Sorcery	dac	116	.
1	The Abyss Knows	Abyss Mysticism	tos	35	.
1	The Word of the Dark God	Setite Sorcery	rob	83	.
1	Treasured Ornaments	Koldunic Sorcery	tos	49	.
1	Truth in Water	Koldunic Sorcery	tos	50	.
1	Typhon’s Brew	Setite Sorcery	rob	84	.
