# road_sins_map.tsv - A MAO, conferido contra o livro (T849, I141d, I142b, I142j)
# O titulo da tabela no livro e TEMATICO, nao o nome da Estrada: AGAINST WHO YOU ARE e
# Road of the Beast na p.116 E Road of Lilith na p.130. Casar por string NAO funciona,
# e casar por proximidade de pagina tambem nao (a tabela flutua para o topo da pagina).
# nome_picker<TAB>tid<TAB>tid_mae<TAB>nota    (tid = <livro>:<pag>:<ordinal na pagina>)
# !SEM-TABELA = o livro nao da tabela. !SEM-MAE = a mae nao tem tabela e a filha nao precisa.
# EMENDA 2026-09-02 (T932, Q58), CONSTRUIDA 2026-09-03: Road of Heaven SAIU (guarda-chuva, nao
# Estrada; unico dos 55 sem tabela em livro nenhum) e Path of the Prophet/Islam ENTROU.
# Christianity e Life/Judaism deixaram de ser filhas. A ficha ja acompanhou: os 55 nomes daqui
# batem 1:1 com PICKER_LIST["road"].
Path of Humanity	core:312:1		
The Path of Blood	core:317:1		
The Path of the Bones	core:319:1		
The Path of Caine	core:322:1		
The Path of Cathari	core:324:1		
The Path of the Feral Heart	core:326:1		
The Path of Honorable Accord	core:328:1		
The Path of Lilith	core:330:1		
The Path of Metamorphosis	core:332:1		
The Path of Night	core:334:1		
The Path of Paradox	core:336:1		
The Path of Power and the Inner Voice	core:338:1		
The Path of Typhon	core:340:1		
The Path of the Hive	bh:54:1		
The Path of the Scorched Heart	bh:57:1		
The Path of Self-Focus	bh:59:1		
The Path of Asakku	bh:117:1		
The Path of Entelechy	lotc:52:1		
The Path of Ecstasy	lotc:71:1		
The Path of the Warrior	lotc:73:1		
Road of the Beast	da:116:1		AGAINST WHO YOU ARE; confirmado por R139 (10..1, da p.116)
Road of Humanity	da:123:1		AGAINST THE SOUL; confirmado pelo dac p.84 (Via Humanitas = V20 Dark Ages 123)
Road of Kings	da:126:1		AGAINST KINGSHIP
Road of Lilith	da:130:1		AGAINST WHO YOU ARE (2a ocorrencia); o conteudo cita Lilith em 3 niveis
Road of Metamorphosis	da:132:1		AGAINST TRANSMOGRIFICATION
Road of Sin	da:134:1		AGAINST YOURSELF; Ethics of Sin na p.134
Road of Bones	da:140:1		AGAINST KNOWLEDGE; Ethics of Bones na p.140
Road of Yasa	da:141:1		AGAINST THE YASA
Road of Blood	da:432:1		titulo `Sins Against the Blood`, SEM a palavra Hierarchy; Ethics of the Blood na p.432
Road of Paradox	da:445:1		SINS AGAINST PARADOX; Ethics of Paradox na p.445
The Code of Samiel	da:447:1		AGAINST RIGHTEOUSNESS
Road of the Abyss	da:442:1		titulo `The Road of the Abyss`, SEM a palavra Hierarchy
Road of Set	da:449:2		AGAINST SET. ATENCAO: da:449:1 e AGAINST APEP, outra Estrada na MESMA pagina
Path of the Archangel	dac:71:1		MAE de verdade, tabela PROPRIA. A tabela esta na p.71 e a secao na p.70
Road of Angra Mainyu	dac:84:2	da:449:1	SEM = no tsv e mesmo assim herda: mechanically similar to the Via Apophis (V20 Dark Ages, p.449), but with these replacements. 3 niveis proprios
Road of Ahura Mazda	dac:84:1	da:123:1	SEM = no tsv e mesmo assim herda: mechanically similar to the Via Humanitas (V20 Dark Ages, 123), but with these additions. 3 niveis proprios
Path of the Hunter	da:118:3	da:116:1	titulo HIERARCHYOFSINS AGAINSTTHEHUNT, sem espacos. 8/7/2 (R139)
Path of Journeys	da:118:1	da:116:1	3/2 (R139)
Path of Liberation	da:118:2	da:116:1	8/6/1 (R139)
Path of Christianity	da:120:2		THE PATH OF CHRIST (CHRISTIANITY), da p.120. MAE desde T932: tem os 10 niveis proprios
Path of Life/Judaism	da:120:1		DERECH CHAIM - THE PATH OF LIFE (JUDAISM), da p.120. MAE desde T932: tem os 10 niveis proprios
Path of the Prophet/Islam	da:121:1		THE PATH OF THE PROPHET (ISLAM), da p.121, 10 niveis. ENTRA no picker em T932; aura Holiness como os 2 irmaos
Path of Breath	da:123:2	da:123:1	10/7/1. Ethics of Breath na p.123
Path of Community	da:124:1	da:123:1	7/4/1. Conteudo: propriedade publica, roubo, genocidio de comunidade
Path of Illumination	da:125:1	da:123:1	10/7/1. Conteudo: luz e escuridao, Luminaries
Path of Chivalry	da:127:1	da:126:1	AGAINST CHIVALRY
Path of Devaraja	da:127:3	da:126:1	AGAINST DEVARAJA
Path of Daena	da:127:2	da:126:1	AGAINST DAENA
Path of Thorns	da:130:2	da:130:1	9/5/2. Titulo partido em 2 linhas no livro
Path of Veils	da:131:1	da:130:1	9/8/4. LADO A LADO com Making na pagina: as linhas vem do OVERRIDE
Path of Making	da:131:2	da:130:1	10/7/5/1. LADO A LADO com Veils: as linhas vem do OVERRIDE
Path of Pleasure	da:135:1	da:134:1	AGAINST PLEASURE
Path of the Devil	da:136:2	da:134:1	AGAINST REBELLION. Conteudo: rejeitar a lei de Deus e do Homem, juramento, falsa virtude = o Adversario
Path of Screams	da:136:1	da:134:1	AGAINST DAMNATION. Conteudo: servir o Inferno, agir em nome do Inferno
Path of Watchful Gods	da:138:1	da:134:1	AGAINST THE WATCHFUL GODS
