name	kind	book	page	roll	roll_pt	diff	damage	damage_pt	range	rate	clip	conceal	conceal_pt	notes_en	notes_pt	name_pt
Sap	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 1 (B)	For + 1 (C)	-	-	-	P	B	Blunt: bashing damage unless targeted at the head (lethal).	Contundente: dano de contusão, salvo mira na cabeça (letal).	Cassetete
Club	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 2 (B)	For + 2 (C)	-	-	-	T	M	Blunt: bashing damage unless targeted at the head (lethal).	Contundente: dano de contusão, salvo mira na cabeça (letal).	Clava
Knife	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R			Faca
Sword	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	T	M			Espada
Axe	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 3 (L)	For + 3 (L)	-	-	-	N	N			Machado
Stake	melee	core	280	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	T	M	May paralyze a vampire driven through the heart: target the heart (difficulty 9) and score three damage successes.	Pode paralisar um vampiro se cravada no coração: mirar o coração (dificuldade 9) e obter três sucessos de dano.	Estaca
Revolver, Lt.	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	4	4	12	3	6	P	B	Example: SW Bodyguard (.38 Special). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: SW Bodyguard (.38 Special). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Revólver Leve
Revolver, Hvy.	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	6	6	35	2	6	J	R	Example: Ruger Redhawk (.44 Magnum). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: Ruger Redhawk (.44 Magnum). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Revólver Pesado
Pistol, Lt.	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	4	4	20	4	15+1	P	B	Example: HK USP (9mm). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: HK USP (9mm). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Pistola Leve
Pistol, Hvy.	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	5	5	25	3	13+1	J	R	Example: Springfield XDM (.45 ACP). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: Springfield XDM (.45 ACP). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Pistola Pesada
Rifle	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	8	8	200	1	3+1	N	N	Example: Beretta Tikka T3 (30.06). Lethal vs. mortals; bashing vs. Kindred unless the head is targeted.	Exemplo: Beretta Tikka T3 (30.06). Letal contra mortais; contusão contra Membros, salvo mira na cabeça.	Rifle
SMG, Small	ranged	core	281	Dex + Firearms	Des + Armas de Fogo	6	4	4	20	3	17+1	J	R	Example: Glock 18 (9mm). Capable of three-round bursts, full auto and sprays.	Exemplo: Glock 18 (9mm). Capaz de rajadas de 3 tiros, fogo automático e varredura.	Submetralhadora Pequena
